experimento,tamanho,otimizacao,tipo_acesso,repeticao,tempo_ms,soma
linha_coluna,2048,O2,coluna,1,22.162913,207617856.00
linha_coluna,2048,O2,linha,2,2.268629,207617856.00
linha_coluna,2048,O2,coluna,2,23.354118,207617856.00
linha_coluna,2048,O2,linha,3,2.275928,207617856.00
linha_coluna,2048,O2,coluna,3,23.801165,207617856.00
linha_coluna,2048,O2,linha,4,2.264952,207617856.00
linha_coluna,2048,O2,coluna,4,25.361459,207617856.00
linha_coluna,2048,O2,linha,5,3.236034,207617856.00
linha_coluna,2048,O2,coluna,5,38.661629,207617856.00
linha_coluna,2048,O2,linha,6,2.427527,207617856.00
linha_coluna,2048,O2,coluna,6,26.375841,207617856.00
linha_coluna,2048,O2,linha,7,2.296099,207617856.00
linha_coluna,2048,O2,coluna,7,20.762901,207617856.00
linha_coluna,2048,O2,linha,8,2.363977,207617856.00
linha_coluna,2048,O2,coluna,8,20.964138,207617856.00
linha_coluna,2048,O2,linha,9,2.294033,207617856.00
linha_coluna,2048,O2,coluna,9,22.004921,207617856.00
linha_coluna,2048,O2,linha,10,2.283978,207617856.00
linha_coluna,2048,O2,coluna,10,22.331457,207617856.00
linha_coluna,2048,O2,linha,11,2.346983,207617856.00
linha_coluna,2048,O2,coluna,11,23.818016,207617856.00
linha_coluna,2048,O2,linha,12,2.354601,207617856.00
linha_coluna,2048,O2,coluna,12,25.727637,207617856.00
linha_coluna,2048,O2,linha,13,2.470974,207617856.00
linha_coluna,2048,O2,coluna,13,26.662407,207617856.00
linha_coluna,2048,O2,linha,14,2.263924,207617856.00
linha_coluna,2048,O2,coluna,14,23.277677,207617856.00
linha_coluna,2048,O2,linha,15,2.280808,207617856.00
linha_coluna,2048,O2,coluna,15,20.477995,207617856.00
linha_coluna,2048,O2,linha,16,2.376501,207617856.00
linha_coluna,2048,O2,coluna,16,21.825768,207617856.00
linha_coluna,2048,O2,linha,17,2.408166,207617856.00
linha_coluna,2048,O2,coluna,17,20.148446,207617856.00
linha_coluna,2048,O2,linha,18,2.231328,207617856.00
linha_coluna,2048,O2,coluna,18,23.553853,207617856.00
linha_coluna,2048,O2,linha,19,2.426517,207617856.00
linha_coluna,2048,O2,coluna,19,20.685406,207617856.00
linha_coluna,2048,O2,linha,20,2.301463,207617856.00
